company,group,youtube_channel_id,youtube_url,notes
HYBE,BTS,UCLkAepWjdylmXSltofFvsYQ,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,official YouTube channel
HYBE,SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA,https://www.youtube.com/@pledis17,official YouTube channel
HYBE,LE SSERAFIM,UCs-QBT4qkj_YiQw1ZntDO3g,https://www.youtube.com/channel/UCs-QBT4qkj_YiQw1ZntDO3g,official YouTube channel
HYBE,NewJeans,UCMki_UkHb4qSc0qyEcOHHJw,https://www.youtube.com/c/NewJeans_official,official YouTube channel
JYP,TWICE,UCzgxx_DM2Dcb9Y1spb9mUJA,https://www.youtube.com/channel/UCzgxx_DM2Dcb9Y1spb9mUJA,official YouTube channel
JYP,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,https://www.youtube.com/channel/UC9rMiEjNaCSsebs31MRDCRA,official YouTube channel
SM,aespa,UC9GtSLeksfK4yuJ_g1lgQbg,https://www.youtube.com/channel/UC9GtSLeksfK4yuJ_g1lgQbg,official YouTube channel
SM,NCT,UCwgtORdDtUKhpjE1VBv6XfA,https://www.youtube.com/channel/UCwgtORdDtUKhpjE1VBv6XfA,official YouTube channel
SM,EXO,UCzCedBCSSltI1TFd3bKyN6g,https://www.youtube.com/channel/UCzCedBCSSltI1TFd3bKyN6g,official YouTube channel
YG,BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,https://www.youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A,official YouTube channel
YG,BIGBANG,UCzw-C7fNfs018R1FzIKnlaA,https://www.youtube.com/bigbang,official YouTube channel
