check_name,status,details,checked_at
events_not_empty,pass,event_rows=75,2026-05-23T05:39:27
event_id_unique,pass,event_id must be unique,2026-05-23T05:39:27
required_fields_present,pass,missing_or_blank=[],2026-05-23T05:39:27
date_parse_ok,pass,dates must parse,2026-05-23T05:39:27
end_after_start,pass,end_date must be >= start_date,2026-05-23T05:39:27
date_in_scope,pass,scope=2021-01-01 to 2026-01-01,2026-05-23T05:39:27
valid_event_categories,pass,bad_categories=[],2026-05-23T05:39:27
has_primary_source_url,pass,each event needs official or Naver source,2026-05-23T05:39:27
traffic_file_readable,pass,traffic_rows=1124,2026-05-23T05:39:27
all_events_have_traffic_rows,pass,missing=[],2026-05-23T05:39:27
