group,company,ticker,member,event_category,event_subtype,event_title_en,event_title_zh,event_title_ko,start_date,peak_date,end_date,sentiment_expected,severity_score,source_level,official_source_url,naver_source_url,notes,status
SEVENTEEN,HYBE,352820.KS,Mingyu,PR_crisis,bullying_allegation,PLEDIS addresses Mingyu school bullying allegations,PLEDIS 回應 Mingyu 校園霸凌爭議,플레디스 민규 학교폭력 의혹 입장 발표,2021-02-28,2021-02-28,2021-03-14,negative,4.0,B_media,https://www.abs-cbn.com/2021/2/28/fresh-scoops/agency-issues-statement-on-allegations-surrounding-191990,,PLEDIS issued a statement and Mingyu temporarily paused activities while allegations were investigated.,candidate
SEVENTEEN,HYBE,352820.KS,Mingyu,PR_crisis,allegation_cleared,Mingyu resumes activities after bullying allegations are addressed,Mingyu 校園霸凌爭議釐清後恢復活動,민규 학교폭력 의혹 해소 후 활동 재개,2021-04-06,2021-04-06,2021-04-20,positive,3.0,B_media,https://www.koreaboo.com/news/pledis-entertainment-announces-seventeen-mingyu-cleared-school-bullying-accusations-resume-activities/,,Follow-up PR event: PLEDIS announced Mingyu had cleared up the accusations and would resume activities.,candidate
SEVENTEEN,HYBE,352820.KS,,contract_member,contract_renewal,All 13 SEVENTEEN members renew contracts with PLEDIS,SEVENTEEN 全員與 PLEDIS 續約,세븐틴 전원 플레디스와 재계약,2021-07-19,2021-07-19,2021-08-02,positive,5.0,B_media,https://celebconfirmed.com/news/Seventeen%27s-13-members-all-renew-contracts-with-Pledis-Entertainment-808,,Full-group contract renewal reduced uncertainty around group continuity.,candidate
SEVENTEEN,HYBE,352820.KS,,concert,world_tour_start,SEVENTEEN begins Be The Sun world tour,SEVENTEEN 展開 Be The Sun 世界巡演,세븐틴 Be The Sun 월드투어 시작,2022-06-25,2022-06-25,2022-07-09,positive,4.0,B_media,https://en.wikipedia.org/wiki/Be_The_Sun_World_Tour,,World tour launch; relevant to concert demand and revenue.,candidate
SEVENTEEN,HYBE,352820.KS,,concert,tour_start,SEVENTEEN begins FOLLOW TO SEOUL concert,SEVENTEEN 展開 FOLLOW TO SEOUL 演唱會,세븐틴 FOLLOW TO SEOUL 공연 시작,2023-07-21,2023-07-21,2023-08-04,positive,4.0,A_official,https://weverse.io/seventeen/notice/13667,,FOLLOW TO SEOUL held at Gocheok Sky Dome.,candidate
SEVENTEEN,HYBE,352820.KS,,concert,japan_dome_tour,SEVENTEEN begins FOLLOW TO JAPAN dome tour leg,SEVENTEEN 展開 FOLLOW TO JAPAN 巨蛋巡演,세븐틴 FOLLOW TO JAPAN 돔 투어 시작,2023-11-23,2023-11-23,2023-12-07,positive,4.0,B_media,https://en.wikipedia.org/wiki/Follow_Tour,,"Japan dome leg of FOLLOW tour, indicating strong regional concert demand.",candidate
SEVENTEEN,HYBE,352820.KS,,concert,encore_concert,SEVENTEEN holds FOLLOW AGAIN TO INCHEON,SEVENTEEN 舉辦 FOLLOW AGAIN TO INCHEON,세븐틴 FOLLOW AGAIN TO INCHEON 개최,2024-03-30,2024-03-30,2024-04-13,positive,4.0,A_official,https://weverse.io/seventeen/notice/17592,,Official Weverse notice announced Incheon encore concerts.,candidate
SEVENTEEN,HYBE,352820.KS,,activity,goodwill_ambassador,SEVENTEEN appointed UNESCO Goodwill Ambassador for Youth,SEVENTEEN 成為 UNESCO 青年親善大使,세븐틴 유네스코 청년 친선대사 임명,2024-06-26,2024-06-26,2024-07-10,positive,4.0,A_official,https://www.unesco.org/en/articles/k-pop-group-seventeen-become-unescos-first-ever-goodwill-ambassador-youth,,UNESCO appointment; fits activity/public-image category.,candidate
SEVENTEEN,HYBE,352820.KS,,concert,festival_performance,SEVENTEEN performs at Glastonbury Festival,SEVENTEEN 登上 Glastonbury 音樂節,세븐틴 글래스턴베리 페스티벌 공연,2024-06-28,2024-06-28,2024-07-12,positive,4.0,B_media,https://www.reuters.com/lifestyle/with-high-energy-song-dance-seventeen-brings-k-pop-glastonbury-2024-06-28/,,Reuters reported SEVENTEEN as the first K-pop group to perform at Glastonbury.,candidate
SEVENTEEN,HYBE,352820.KS,,concert,world_tour_start,SEVENTEEN begins RIGHT HERE world tour in Goyang,SEVENTEEN 於高陽展開 RIGHT HERE 世界巡演,세븐틴 RIGHT HERE 월드투어 고양 공연 시작,2024-10-12,2024-10-12,2024-10-26,positive,4.0,B_media,https://en.wikipedia.org/wiki/Right_Here_World_Tour,,RIGHT HERE world tour began in Goyang and continued into 2025.,candidate
SEVENTEEN,HYBE,352820.KS,,concert,tour_end,SEVENTEEN concludes RIGHT HERE world tour in Bangkok,SEVENTEEN 於曼谷結束 RIGHT HERE 世界巡演,세븐틴 RIGHT HERE 월드투어 방콕 공연 종료,2025-02-16,2025-02-16,2025-03-02,positive,4.0,B_media,https://en.wikipedia.org/wiki/Right_Here_World_Tour,,Tour conclusion event; useful for concert-cycle traffic.,candidate
SEVENTEEN,HYBE,352820.KS,S.Coups,activity,fashion_event,S.Coups makes Met Gala debut with BOSS,S.Coups 以 BOSS 造型首次登上 Met Gala,에스쿱스 BOSS와 함께 멧 갈라 데뷔,2025-05-05,2025-05-05,2025-05-19,positive,3.0,B_media,https://www.vogue.com/article/s-coups-seventeen-met-gala-boss,,Fashion-event activity; S.Coups attended Met Gala 2025 with BOSS.,candidate
SEVENTEEN,HYBE,352820.KS,Mingyu,activity,brand_campaign,Mingyu fronts Calvin Klein Fall 2025 denim campaign,Mingyu 擔任 Calvin Klein 2025 秋季丹寧形象 campaign 主角,민규 캘빈클라인 2025 가을 데님 캠페인 참여,2025-08-19,2025-08-19,2025-09-02,positive,3.0,A_official,https://www.pvh.com/news/calvin-klein-denim-campaign-mingyu,,Brand campaign activity; PVH announced Mingyu as the star of Calvin Klein Fall 2025 denim campaign.,candidate
SEVENTEEN,HYBE,352820.KS,,concert,world_tour_start,SEVENTEEN begins NEW_ world tour in Incheon,SEVENTEEN 於仁川展開 NEW_ 世界巡演,세븐틴 NEW_ 월드투어 인천 공연 시작,2025-09-13,2025-09-13,2025-09-27,positive,4.0,A_official,https://weverse.io/seventeen/notice/28754,,Official Weverse notice for SEVENTEEN WORLD TOUR [NEW_] IN INCHEON.,candidate
SEVENTEEN,HYBE,352820.KS,,concert,japan_dome_tour_end,SEVENTEEN concludes 2025 Japan dome tour across four major domes,SEVENTEEN 結束 2025 日本四大巨蛋巡演,세븐틴 2025 일본 4대 돔 투어 종료,2025-12-22,2025-12-22,2026-01-01,positive,4.0,B_media,https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/seventeen-draws-420000-fans-across-japans-four-major-domes-eyes-asia-stadium-tour/articleshow/126127697.cms,,Late-2025 concert event; useful to avoid data being too concentrated before 2024.,candidate
BTS,HYBE,352820.KS,,concert,offline_concert_announcement,BTS announces Permission to Dance On Stage LA concerts,BTS 宣布 Permission to Dance On Stage LA 演唱會,방탄소년단 Permission to Dance On Stage LA 공연 발표,2021-09-27,2021-09-27,2021-10-11,positive,4.0,B_media,https://www.sofistadium.com/news/detail/bts-announce-bts-permission-to-dance-on-stage-la-coming-to-sofi-stadium-for-four-nights,,"Announcement of four LA stadium shows, marking BTS's return to offline concerts.",candidate
BTS,HYBE,352820.KS,,concert,offline_concert_start,BTS begins Permission to Dance On Stage LA concerts,BTS 展開 Permission to Dance On Stage LA 演唱會,방탄소년단 Permission to Dance On Stage LA 공연 시작,2021-11-27,2021-11-27,2021-12-11,positive,5.0,B_media,https://en.wikipedia.org/wiki/Permission_to_Dance_on_Stage,,Four-night SoFi Stadium concert run; strong concert revenue and traffic event.,candidate
BTS,HYBE,352820.KS,,concert,seoul_concert_start,BTS begins Permission to Dance On Stage Seoul concerts,BTS 展開 Permission to Dance On Stage 首爾演唱會,방탄소년단 Permission to Dance On Stage 서울 공연 시작,2022-03-10,2022-03-10,2022-03-24,positive,4.0,B_media,https://en.wikipedia.org/wiki/Permission_to_Dance_on_Stage,,BTS returned to domestic live concerts in Seoul after COVID-era restrictions.,candidate
BTS,HYBE,352820.KS,,activity,solo_activity_transition,BTS announces focus on solo activities during 2022 FESTA,BTS 於 2022 FESTA 宣布重心轉向個人活動,방탄소년단 2022 FESTA에서 개인 활동 중심 계획 발표,2022-06-14,2022-06-14,2022-06-28,mixed,5.0,B_media,https://pitchfork.com/news/bts-are-not-on-hiatus-rep-says-following-band-members-statements/,,Market-sensitive activity transition from group promotions to individual activities.,candidate
