event_id,company,ticker,group,member,event_category,event_subtype,event_title_en,event_title_zh,event_title_ko,start_date,peak_date,end_date,duration_days,event_window_before_days,event_window_after_days,sentiment_expected,severity_score,source_level,official_source_url,naver_source_url,notes,collector,status
TWICE_20210609_ALCOHOL_FREE,JYP,035900.KQ,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,TWICE Alcohol-Free 與 Taste of Love 回歸,트와이스 Alcohol-Free 컴백,2021-05-31,2021-06-09,2021-06-18,19,3,14,positive,3,B_korean_news,https://koreajoongangdaily.joins.com/2021/05/31/entertainment/kpop/Twice-AlcoholFree-Taste-of-Love/20210531135500713.html,https://search.naver.com/search.naver?where=news&query=트와이스%20Alcohol-Free,Lead track announced for June 9 and album rollout created measurable comeback traffic,Paul,complete
TWICE_20211001_THE_FEELS,JYP,035900.KQ,TWICE,,comeback,english_single_release,TWICE releases first English single The Feels,TWICE 發布首支英文單曲 The Feels,트와이스 첫 영어 싱글 The Feels 발매,2021-10-01,2021-10-01,2021-10-11,11,3,14,positive,4,A_official,https://www.youtube.com/watch?v=f5_wn8mexmM,https://search.naver.com/search.naver?where=news&query=트와이스%20The%20Feels,First English single and US promotion window,Paul,complete
TWICE_20220712_CONTRACT_RENEWAL,JYP,035900.KQ,TWICE,,contract_member,group_contract_renewal,All TWICE members renew contracts with JYP,TWICE 全員與 JYP 續約,트와이스 전원 JYP 재계약,2022-07-12,2022-07-12,2022-07-19,8,3,14,positive,5,B_korean_news,https://en.yna.co.kr/view/AEN20220712004800315,https://search.naver.com/search.naver?where=news&query=트와이스%20재계약,Major company risk event because full group renewal reduced disbandment uncertainty,Paul,complete
TWICE_20230221_READY_TO_BE_TOUR,JYP,035900.KQ,TWICE,,concert,world_tour_announcement,TWICE announces Ready To Be world tour,TWICE 公布 Ready To Be 世界巡演,트와이스 Ready To Be 월드투어 발표,2023-02-21,2023-02-21,2023-03-03,11,3,14,positive,4,C_platform_data,https://www.upi.com/Entertainment_News/Music/2023/02/21/korea-Twice-Ready-to-Be-world-tour/4881677002969/,https://search.naver.com/search.naver?where=news&query=트와이스%20Ready%20To%20Be%20월드투어,Concert announcement suitable for event traffic and company revenue expectation,Paul,complete
TWICE_20230424_METLIFE_SOLDOUT,JYP,035900.KQ,TWICE,,concert,stadium_sold_out,TWICE sells out MetLife Stadium concert,TWICE MetLife Stadium 演唱會完售,트와이스 메트라이프 스타디움 매진,2023-04-24,2023-04-24,2023-05-01,8,3,14,positive,4,B_korean_news,https://koreajoongangdaily.joins.com/2023/04/24/entertainment/kpop/Korea-Kpop-JYP/20230424175850970.html,https://search.naver.com/search.naver?where=news&query=트와이스%20메트라이프%20매진,"Concert demand and ticket sold-out event, better fit than chart-achievement row",Paul,complete
AESPA_20210517_NEXT_LEVEL,SM,041510.KQ,aespa,,comeback,single_release,aespa releases Next Level,aespa 發布 Next Level,에스파 Next Level 발매,2021-05-06,2021-05-17,2021-05-31,26,3,14,positive,4,B_korean_news,https://koreajoongangdaily.joins.com/2021/05/06/entertainment/kpop/aespa-Next-Level-May-17/20210506145900393.html,https://search.naver.com/search.naver?where=news&query=에스파%20Next%20Level,Signature single and early breakout event,Paul,complete
AESPA_20220423_COACHELLA,SM,041510.KQ,aespa,,activity,festival_performance,aespa performs at Coachella 2022,aespa 登上 Coachella 2022,aespa 코첼라 2022 공연,2022-04-19,2022-04-23,2022-04-30,12,3,14,positive,4,C_platform_data,https://time.com/6174945/aespa-2/,https://search.naver.com/search.naver?where=news&query=에스파%20코첼라%202022,Global festival exposure with high media value,Paul,complete
AESPA_20230607_GISELLE_HEALTH,SM,041510.KQ,aespa,Giselle,PR_crisis,health_hiatus,Giselle pauses activities for health reasons,Giselle 因健康因素暫停活動,지젤 건강 문제 활동 중단,2023-06-07,2023-06-07,2023-06-21,15,3,14,negative,3,C_platform_data,https://www.soompi.com/article/1592167wpp/aespas-giselle-to-sit-out-upcoming-u-s-activities-due-to-health,https://search.naver.com/search.naver?where=news&query=에스파%20지젤%20건강%20활동중단,Health-related absence during overseas activity period,Paul,complete
AESPA_20240227_KARINA_DATING_BREAKUP,SM,041510.KQ,aespa,Karina,dating,confirmed_and_breakup,Karina and Lee Jae-wook dating news and breakup,Karina 與李宰旭戀愛公開後分手,카리나 이재욱 열애 결별,2024-02-27,2024-03-05,2024-04-02,36,3,14,mixed,4,B_korean_news,https://en.yna.co.kr/view/AEN20240402006500315,https://search.naver.com/search.naver?where=news&query=카리나%20이재욱%20열애%20결별,High discussion dating event with agency confirmation and breakup coverage,Paul,complete
AESPA_20240527_ARMAGEDDON,SM,041510.KQ,aespa,,comeback,first_full_album,aespa releases first full album Armageddon,aespa 發布首張正規專輯 Armageddon,에스파 첫 정규앨범 Armageddon 발매,2024-04-22,2024-05-27,2024-06-02,42,3,14,positive,5,B_korean_news,https://en.yna.co.kr/view/AEN20240527007200315,https://search.naver.com/search.naver?where=news&query=에스파%20Armageddon%20정규앨범,First full album and Supernova Armageddon promotion cycle,Paul,complete
BLACKPINK_20220819_PINK_VENOM,YG,122870.KQ,BLACKPINK,,comeback,pre_release_single,BLACKPINK releases Pink Venom,BLACKPINK 發布 Pink Venom,블랙핑크 Pink Venom 발매,2022-08-19,2022-08-19,2022-08-26,8,3,14,positive,4,C_platform_data,https://time.com/6207305/blackpink-born-pink-album/,https://search.naver.com/search.naver?where=news&query=블랙핑크%20Pink%20Venom,Pre-release single for Born Pink generated large global attention,Paul,complete
BLACKPINK_20220916_BORN_PINK,YG,122870.KQ,BLACKPINK,,comeback,album_release,BLACKPINK releases Born Pink,BLACKPINK 發布 Born Pink 專輯,블랙핑크 Born Pink 발매,2022-09-16,2022-09-16,2022-09-25,10,3,14,positive,5,C_platform_data,https://time.com/6214390/blackpink-born-pink-analysis/,https://search.naver.com/search.naver?where=news&query=블랙핑크%20Born%20Pink%20발매,Major group album comeback after long gap,Paul,complete
BLACKPINK_20230110_COACHELLA_HEADLINER,YG,122870.KQ,BLACKPINK,,concert,festival_headliner_announcement,BLACKPINK announced as Coachella 2023 headliner,BLACKPINK 成為 Coachella 2023 Headliner,블랙핑크 코첼라 2023 헤드라이너,2023-01-10,2023-04-15,2023-04-22,103,3,14,positive,5,C_platform_data,https://apnews.com/article/f9bc30abc325a83f4b968ff546ba3237,https://search.naver.com/search.naver?where=news&query=블랙핑크%20코첼라%20헤드라이너,Recategorized from achievement to concert because this is a festival headliner booking event,Paul,complete
BLACKPINK_20231206_GROUP_CONTRACT_RENEWAL,YG,122870.KQ,BLACKPINK,,contract_member,group_contract_renewal,BLACKPINK renews group contract with YG,BLACKPINK 與 YG 續簽團體活動合約,블랙핑크 YG 그룹 활동 재계약,2023-12-06,2023-12-06,2023-12-13,8,3,14,positive,5,B_korean_news,https://en.yna.co.kr/view/AEN20231206002200315,https://search.naver.com/search.naver?where=news&query=블랙핑크%20재계약,High market relevance because contract uncertainty was resolved for group activities,Paul,complete
