company,group,instagram_followers,instagram_url,source_date,notes
HYBE,BTS,80200000,https://www.instagram.com/bts.bighitofficial/,2026-05-28,manual collection from official Instagram account
HYBE,SEVENTEEN,16100000,https://www.instagram.com/saythename_17/,2026-05-28,manual collection from official Instagram account
HYBE,LE SSERAFIM,10400000,https://www.instagram.com/le_sserafim/,2026-05-28,manual collection from official Instagram account
HYBE,NewJeans,11900000,https://www.instagram.com/newjeans_official/,2026-05-28,manual collection from official Instagram account
JYP,TWICE,29900000,https://www.instagram.com/twicetagram/,2026-05-28,manual collection from official Instagram account
JYP,Stray Kids,33000000,https://www.instagram.com/realstraykids/,2026-05-28,manual collection from official Instagram account
SM,aespa,16400000,https://www.instagram.com/aespa_official/,2026-05-28,manual collection from official Instagram account
SM,NCT,16200000,https://www.instagram.com/nct/,2026-05-28,manual collection from official Instagram account
SM,EXO,10700000,https://www.instagram.com/weareone.exo/,2026-05-28,manual collection from official Instagram account
YG,BLACKPINK,57900000,https://www.instagram.com/blackpinkofficial/,2026-05-28,manual collection from official Instagram account
YG,BIGBANG,909000,https://www.instagram.com/bigbang_2xx6/,2026-05-28,manual collection from official Instagram account
