company,group,youtube_channel_id,youtube_channel_title,youtube_channel_subscribers,youtube_channel_views,youtube_channel_videos,youtube_url,source_date,notes
HYBE,BTS,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,84500000,28082874009,3044,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,2026-05-28,official YouTube channel
HYBE,SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA,SEVENTEEN,17300000,8462611681,3587,https://www.youtube.com/@pledis17,2026-05-28,official YouTube channel
HYBE,LE SSERAFIM,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,7400000,5978920012,2940,https://www.youtube.com/channel/UCs-QBT4qkj_YiQw1ZntDO3g,2026-05-28,official YouTube channel
HYBE,NewJeans,UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,8380000,5141188457,752,https://www.youtube.com/c/NewJeans_official,2026-05-28,official YouTube channel
JYP,TWICE,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,19300000,9196877980,2492,https://www.youtube.com/channel/UCzgxx_DM2Dcb9Y1spb9mUJA,2026-05-28,official YouTube channel
JYP,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,23900000,11519478136,2067,https://www.youtube.com/channel/UC9rMiEjNaCSsebs31MRDCRA,2026-05-28,official YouTube channel
SM,aespa,UC9GtSLeksfK4yuJ_g1lgQbg,aespa,8400000,5974575113,1656,https://www.youtube.com/channel/UC9GtSLeksfK4yuJ_g1lgQbg,2026-05-28,official YouTube channel
SM,NCT,UCwgtORdDtUKhpjE1VBv6XfA,NCT,6430000,1732789488,2068,https://www.youtube.com/channel/UCwgtORdDtUKhpjE1VBv6XfA,2026-05-28,official YouTube channel
SM,EXO,UCzCedBCSSltI1TFd3bKyN6g,EXO,9890000,1974748507,915,https://www.youtube.com/channel/UCzCedBCSSltI1TFd3bKyN6g,2026-05-28,official YouTube channel
YG,BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,101000000,42179904251,666,https://www.youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A,2026-05-28,official YouTube channel
YG,BIGBANG,UCzw-C7fNfs018R1FzIKnlaA,BIGBANG,16800000,10274061688,781,https://www.youtube.com/bigbang,2026-05-28,official YouTube channel
