company,group,youtube_channel_subscribers,youtube_channel_views,youtube_channel_videos,instagram_followers,instagram_url,spotify_monthly_listeners,spotify_url,youtube_channel_subscribers_z,youtube_channel_views_z,instagram_followers_z,spotify_monthly_listeners_z,fanbase_weight,weight_method
HYBE,BTS,84500000,28082874009,3044,80200000,https://www.instagram.com/bts.bighitofficial/,37818601,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,1.8135714477729268,1.3803564132913115,2.4094333784706725,2.5606250067499015,2.040996561571203,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
HYBE,LE SSERAFIM,7400000,5978920012,2940,10400000,https://www.instagram.com/le_sserafim/,15833776,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,-0.6426565063251557,-0.5010155074924526,-0.6810957941860869,0.2812064691825817,-0.3858903347052784,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
HYBE,NewJeans,8380000,5141188457,752,11900000,https://www.instagram.com/newjeans_official/,13711554,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,-0.6114359694248168,-0.5723187967114507,-0.6146804108195377,0.06117141465596198,-0.4343159405749608,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
HYBE,SEVENTEEN,17300000,8462611681,3587,16100000,https://www.instagram.com/saythename_17/,5173734,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,-0.3272653682503046,-0.2896167791664997,-0.4287173373931997,-0.824042144169865,-0.4674104072449672,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
JYP,Stray Kids,23900000,11519478136,2067,33000000,https://www.instagram.com/realstraykids/,10104954,https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,-0.11700460953373723,-0.029432437722278503,0.31956264853658867,-0.3127661034998703,-0.03491012555482433,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
JYP,TWICE,19300000,9196877980,2492,29900000,https://www.instagram.com/twicetagram/,15938354,https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,-0.26354998682104175,-0.22711990654796702,0.1823041895790535,0.29204926787766866,-0.004079108978071663,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
SM,EXO,9890000,1974748507,915,10700000,https://www.instagram.com/weareone.exo/,5882812,https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O,-0.5633308564457234,-0.8418294558263981,-0.667812717512777,-0.750523908851587,-0.7058742346591214,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
SM,NCT,6430000,1732789488,2068,16200000,https://www.instagram.com/nct/,1582617,https://open.spotify.com/artist/48eO052eSDcn8aTxiv6QaG,-0.6735584663183481,-0.8624237306963498,-0.4242896451687631,-1.1963743624328322,-0.7891615511540734,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
SM,aespa,8400000,5974575113,1656,16400000,https://www.instagram.com/aespa_official/,10507721,https://open.spotify.com/artist/6YVMFz59CuY7ngCxTxjpxE,-0.6107988156105242,-0.5013853223671284,-0.41543426071988987,-0.2710066368622974,-0.44965625888995997,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
YG,BIGBANG,16800000,10274061688,781,909000,https://www.instagram.com/bigbang_2xx6/,5771913,https://open.spotify.com/artist/4Kxlr1PRlDKEB0ekOCyHgX,-0.3431942136076203,-0.13543571366410606,-1.1013280632073663,-0.7620220779931508,-0.5854950171180608,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
YG,BLACKPINK,101000000,42179904251,666,57900000,https://www.instagram.com/blackpinkofficial/,22011126,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,2.339223344564345,2.5802212369033204,1.4220580124213065,0.9216830753434895,1.8157964173081154,"fanbase_weight is the average z-score of YouTube subscribers, YouTube views, Instagram followers, and Spotify monthly listeners."
