event_id,company,event0_date,event_type_final,confounded_same_company_m10_p10
TWICE_20210609_ALCOHOL_FREE,JYP,2021-05-31,positive_comeback,False
TWICE_20211001_THE_FEELS,JYP,2021-10-01,positive_comeback,False
TWICE_20220712_CONTRACT_RENEWAL,JYP,2022-07-12,positive_resolution,False
TWICE_20230221_READY_TO_BE_TOUR,JYP,2023-02-21,positive_concert,False
TWICE_20230424_METLIFE_SOLDOUT,JYP,2023-04-24,positive_concert,False
AESPA_20210517_NEXT_LEVEL,SM,2021-05-06,positive_comeback,False
AESPA_20220423_COACHELLA,SM,2022-04-19,positive_activity,False
AESPA_20230607_GISELLE_HEALTH,SM,2023-06-07,negative_PR_crisis,True
AESPA_20240227_KARINA_DATING_BREAKUP,SM,2024-02-27,dating,True
AESPA_20240527_ARMAGEDDON,SM,2024-04-22,positive_comeback,True
BLACKPINK_20220819_PINK_VENOM,YG,2022-08-19,positive_comeback,True
BLACKPINK_20220916_BORN_PINK,YG,2022-09-16,positive_comeback,False
BLACKPINK_20230110_COACHELLA_HEADLINER,YG,2023-01-10,positive_concert,False
BLACKPINK_20231206_GROUP_CONTRACT_RENEWAL,YG,2023-12-06,positive_resolution,True
BLACKPINK_20231229_INDIVIDUAL_CONTRACTS,YG,2024-01-02,artist_transition,True
NEWJEANS_20220722_ATTENTION_DEBUT,HYBE,2022-07-22,positive_comeback,True
NEWJEANS_20221219_DITTO,HYBE,2022-12-19,positive_comeback,True
NEWJEANS_20240411_HYEIN_INJURY,HYBE,2024-04-11,negative_PR_crisis,True
NEWJEANS_20240422_HYBE_ADOR_DISPUTE,HYBE,2024-04-22,negative_contract_crisis,True
NEWJEANS_20241128_CONTRACT_TERMINATION,HYBE,2024-11-28,negative_contract_crisis,False
LESSERAFIM_20220502_FEARLESS_DEBUT,HYBE,2022-05-02,positive_comeback,False
LESSERAFIM_20220720_GARAM_TERMINATION,HYBE,2022-07-20,negative_PR_crisis,True
LESSERAFIM_20221017_ANTIFRAGILE,HYBE,2022-10-17,positive_comeback,True
LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,HYBE,2024-02-19,negative_PR_crisis,True
LESSERAFIM_20240413_COACHELLA_CRITICISM,HYBE,2024-04-15,negative_PR_crisis,True
TWICE_20210818_JEONGYEON_HIATUS,JYP,2021-08-18,negative_PR_crisis,False
TWICE_20220624_NAYEON_POP,JYP,2022-06-24,positive_activity,False
TWICE_20230324_SOFI_SOLDOUT,JYP,2023-03-23,positive_concert,True
TWICE_20230321_CHAEYOUNG_SHIRT,JYP,2023-03-21,negative_PR_crisis,True
TWICE_20230310_SET_ME_FREE,JYP,2023-03-10,positive_comeback,True
TWICE_20230726_MISAMO_DEBUT,JYP,2023-07-26,positive_activity,False
TWICE_20240325_JIHYO_DATING_RUMOR,JYP,2024-03-25,dating,True
TWICE_20240223_ONE_SPARK,JYP,2024-02-23,positive_comeback,False
TWICE_20241206_STRATEGY,JYP,2024-12-06,positive_comeback,False
TWICE_20240405_CHAEYOUNG_ZIONT,JYP,2024-04-05,dating,True
AESPA_20240412_WINTER_SURGERY,SM,2024-04-12,negative_PR_crisis,True
AESPA_20240305_KARINA_APOLOGY,SM,2024-03-05,negative_PR_crisis,True
AESPA_20230225_SYNKK_HYPER_LINE,SM,2023-02-27,positive_concert,False
AESPA_20240402_KARINA_BREAKUP,SM,2024-04-02,dating,True
AESPA_20230508_MY_WORLD_SPICY,SM,2023-05-08,positive_comeback,True
AESPA_20241211_WINTER_JUNGWON,SM,2024-12-11,dating,False
AESPA_20250528_KARINA_JACKET,SM,2025-05-28,negative_PR_crisis,True
AESPA_20240513_SUPERNOVA,SM,2024-05-13,positive_comeback,True
AESPA_20241021_WHIPLASH,SM,2024-10-21,positive_comeback,False
AESPA_20251205_WINTER_JUNGKOOK,SM,2025-12-05,dating,False
BLACKPINK_20210312_ROSE_ON_THE_GROUND,YG,2021-03-12,positive_activity,False
BLACKPINK_20220523_JENNIE_V_RUMOR,YG,2022-05-23,dating,False
BLACKPINK_20210910_LISA_LALISA,YG,2021-09-10,positive_activity,False
BLACKPINK_20220808_BORN_PINK_TOUR_ANNOUNCE,YG,2022-08-08,positive_concert,True
BLACKPINK_20230604_THE_IDOL,YG,2023-06-05,negative_PR_crisis,True
BLACKPINK_20230331_JISOO_FLOWER,YG,2023-03-31,positive_activity,False
BLACKPINK_20230928_LISA_CRAZY_HORSE,YG,2023-10-04,negative_PR_crisis,True
BLACKPINK_20230917_BORN_PINK_FINALE,YG,2023-09-18,positive_concert,True
BLACKPINK_20240709_JENNIE_VAPING,YG,2024-07-08,negative_PR_crisis,False
BLACKPINK_20250219_DEADLINE_TOUR,YG,2025-02-19,positive_concert,False
NEWJEANS_20250207_NJZ_REBRAND,HYBE,2025-02-07,negative_contract_crisis,True
NEWJEANS_20220801_COOKIE_CONTROVERSY,HYBE,2022-08-01,negative_PR_crisis,True
NEWJEANS_20230106_OMG_MV_CONTROVERSY,HYBE,2023-01-06,negative_PR_crisis,False
NEWJEANS_20230707_SUPER_SHY,HYBE,2023-07-07,positive_comeback,True
NEWJEANS_20230721_ETA_IPHONE,HYBE,2023-07-21,positive_activity,True
NEWJEANS_20241010_HANNI_ASSEMBLY_SUMMONS,HYBE,2024-10-10,negative_PR_crisis,True
NEWJEANS_20250321_ADOR_INJUNCTION,HYBE,2025-03-21,negative_contract_crisis,True
NEWJEANS_20240524_HOW_SWEET,HYBE,2024-05-24,positive_comeback,False
NEWJEANS_20250324_NJZ_HIATUS,HYBE,2025-03-24,negative_contract_crisis,True
NEWJEANS_20241015_HANNI_ASSEMBLY,HYBE,2024-10-15,negative_PR_crisis,True
LESSERAFIM_20240717_SOURCE_ADOR_LAWSUIT,HYBE,2024-07-17,negative_contract_crisis,True
LESSERAFIM_20220520_GARAM_HIATUS,HYBE,2022-05-20,negative_PR_crisis,False
LESSERAFIM_20230812_FLAME_RISES,HYBE,2023-08-14,positive_concert,False
LESSERAFIM_20240829_EUNCHAE_APOLOGY,HYBE,2024-08-29,negative_PR_crisis,True
LESSERAFIM_20240219_EASY_RELEASE,HYBE,2024-02-19,positive_comeback,True
LESSERAFIM_20240403_KAZUHA_DATING,HYBE,2024-04-03,dating,True
LESSERAFIM_20240729_DOCUMENTARY,HYBE,2024-07-29,positive_activity,True
LESSERAFIM_20240830_CRAZY,HYBE,2024-08-30,positive_comeback,True
LESSERAFIM_20231016_CHAEWON_HEALTH,HYBE,2023-10-16,negative_PR_crisis,False
LESSERAFIM_20250314_HOT,HYBE,2025-03-14,positive_comeback,True
SEVENTEEN_20210228_MINGYU_BULLYING_ALLEGATION_PLEDIS_ADDRESSES_M,HYBE,2021-03-02,negative_PR_crisis,False
SEVENTEEN_20210406_MINGYU_ALLEGATION_CLEARED_MINGYU_RESUMES_ACTI,HYBE,2021-04-06,positive_resolution,False
SEVENTEEN_20210719_NAN_CONTRACT_RENEWAL_ALL_13_SEVENTEEN_MEMBERS,HYBE,2021-07-19,positive_resolution,False
SEVENTEEN_20220625_NAN_WORLD_TOUR_START_SEVENTEEN_BEGINS_BE_THE_,HYBE,2022-06-27,positive_concert,True
SEVENTEEN_20230721_NAN_TOUR_START_SEVENTEEN_BEGINS_FOLLOW_TO_SEO,HYBE,2023-07-21,positive_concert,True
SEVENTEEN_20231123_NAN_JAPAN_DOME_TOUR_SEVENTEEN_BEGINS_FOLLOW_T,HYBE,2023-11-23,positive_concert,False
SEVENTEEN_20240330_NAN_ENCORE_CONCERT_SEVENTEEN_HOLDS_FOLLOW_AGA,HYBE,2024-04-01,positive_concert,True
SEVENTEEN_20240626_NAN_GOODWILL_AMBASSADOR_SEVENTEEN_APPOINTED_U,HYBE,2024-06-26,positive_activity,True
SEVENTEEN_20240628_NAN_FESTIVAL_PERFORMANCE_SEVENTEEN_PERFORMS_A,HYBE,2024-06-28,positive_concert,True
SEVENTEEN_20241012_NAN_WORLD_TOUR_START_SEVENTEEN_BEGINS_RIGHT_H,HYBE,2024-10-14,positive_concert,True
SEVENTEEN_20250216_NAN_TOUR_END_SEVENTEEN_CONCLUDES_RIGHT_HERE_W,HYBE,2025-02-17,positive_concert,True
SEVENTEEN_20250505_S_COUPS_FASHION_EVENT_S_COUPS_MAKES_MET_GALA_,HYBE,2025-05-07,positive_activity,False
SEVENTEEN_20250819_MINGYU_BRAND_CAMPAIGN_MINGYU_FRONTS_CALVIN_KL,HYBE,2025-08-19,positive_activity,False
SEVENTEEN_20250913_NAN_WORLD_TOUR_START_SEVENTEEN_BEGINS_NEW_WOR,HYBE,2025-09-15,positive_concert,False
SEVENTEEN_20251222_NAN_JAPAN_DOME_TOUR_END_SEVENTEEN_CONCLUDES_2,HYBE,2025-12-22,positive_concert,False
BTS_20210927_NAN_OFFLINE_CONCERT_ANNOUNCEMENT_BTS_ANNOUNCE,HYBE,2021-09-27,positive_concert,False
BTS_20211127_NAN_OFFLINE_CONCERT_START_BTS_BEGINS_PERMISSI,HYBE,2021-11-29,positive_concert,False
BTS_20220310_NAN_SEOUL_CONCERT_START_BTS_BEGINS_PERMISSION,HYBE,2022-03-10,positive_concert,False
BTS_20220614_NAN_SOLO_ACTIVITY_TRANSITION_BTS_ANNOUNCES_FO,HYBE,2022-06-14,artist_transition,True
BTS_20220731_J_HOPE_FESTIVAL_HEADLINER_J_HOPE_HEADLINES_LO,HYBE,2022-08-01,positive_activity,True
BTS_20221015_NAN_SPECIAL_CONCERT_BTS_HOLDS_YET_TO_COME_IN_,HYBE,2022-10-17,positive_concert,True
BTS_20221017_NAN_MILITARY_SERVICE_PLAN_BIGHIT_MUSIC_CONFIR,HYBE,2022-10-17,artist_transition,True
BTS_20221213_JIN_MEMBER_ENLISTMENT_JIN_BEGINS_MANDATORY_MI,HYBE,2022-12-13,artist_transition,True
BTS_20230518_V_DATING_RUMOR_AGENCY_RESPONSE_V_AND_JENNIE_D,HYBE,2023-05-18,dating,False
BTS_20230328_JUNG_KOOK_BRAND_AMBASSADOR_JUNG_KOOK_IS_ANNOU,HYBE,2023-03-28,positive_activity,False
BTS_20230920_NAN_CONTRACT_RENEWAL_ALL_SEVEN_BTS_MEMBERS_RE,HYBE,2023-09-20,positive_resolution,False
BTS_20240823_SUGA_DUI_INCIDENT_SUGA_APPEARS_BEFORE_POLICE_,HYBE,2024-08-23,negative_PR_crisis,True
BTS_20240930_SUGA_FINE_SUGA_IS_FINED_FOR_E_SCOOTER_DRUNK_D,HYBE,2024-09-30,negative_PR_crisis,True
BTS_20250228_J_HOPE_SOLO_TOUR_START_J_HOPE_BEGINS_HOPE_ON_,HYBE,2025-02-28,positive_concert,True
BTS_20250628_JIN_SOLO_FAN_CONCERT_TOUR_START_JIN_BEGINS_RU,HYBE,2025-06-30,positive_concert,False
