date,company,ticker,open,high,low,close,adj_close,volume,daily_return,peer_avg_return,abnormal_return,event_id,event_day,event0_date,group,member,event_category,event_subtype,event_title_en,start_date,peak_date,end_date,sentiment_expected,severity_score,duration_days,source_level,event_type_final
2021-05-14,JYP,035900.KQ,33750.0,36500.0,33650.0,35900.0,34498.28125,2127257,0.0732435925581092,0.030600931546201332,0.04264266101190786,TWICE_20210609_ALCOHOL_FREE,-10,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
2021-05-17,JYP,035900.KQ,36200.0,38000.0,35600.0,37650.0,36179.953125,3014488,0.0487465408149863,0.040551202392691395,0.008195338422294904,TWICE_20210609_ALCOHOL_FREE,-9,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
2021-05-18,JYP,035900.KQ,37650.0,38450.0,37300.0,38250.0,36756.52734375,1477008,0.0159362898221002,0.0471285253976357,-0.0311922355755355,TWICE_20210609_ALCOHOL_FREE,-8,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
2021-05-20,JYP,035900.KQ,37950.0,38500.0,37350.0,38200.0,36708.48046875,824705,-0.0013071657871991,0.020006287282132,-0.0213134530693311,TWICE_20210609_ALCOHOL_FREE,-7,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
2021-05-21,JYP,035900.KQ,37950.0,38550.0,37000.0,37050.0,35603.3828125,883571,-0.0301046963028276,0.00015020500041213378,-0.030254901303239733,TWICE_20210609_ALCOHOL_FREE,-6,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
2021-05-24,JYP,035900.KQ,37000.0,37700.0,36700.0,36950.0,35507.28125,784225,-0.0026992256046596,0.011029542711678234,-0.013728768316337833,TWICE_20210609_ALCOHOL_FREE,-5,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
2021-05-25,JYP,035900.KQ,37450.0,39000.0,37250.0,38650.0,37140.91015625,1199877,0.0460082791117666,0.024273619516893604,0.021734659594872998,TWICE_20210609_ALCOHOL_FREE,-4,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
2021-05-26,JYP,035900.KQ,38850.0,39000.0,37700.0,38600.0,37092.86328125,688127,-0.0012936375225558,-0.00543230067077,0.0041386631482141995,TWICE_20210609_ALCOHOL_FREE,-3,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
2021-05-27,JYP,035900.KQ,38850.0,39050.0,37700.0,39000.0,37477.24609375,719829,0.0103627161264281,-0.002810763701664933,0.013173479828093033,TWICE_20210609_ALCOHOL_FREE,-2,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
2021-05-28,JYP,035900.KQ,39000.0,39000.0,38000.0,38250.0,36756.52734375,520079,-0.0192308353766739,0.0052426256791266,-0.024473461055800498,TWICE_20210609_ALCOHOL_FREE,-1,2021-05-31,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,2021-06-09,2021-06-18,positive,3.0,19,B_korean_news,positive_comeback
