event_id,company,ticker,group,member,event_category,event_subtype,event_title_en,event_title_zh,event_title_ko,start_date,peak_date,end_date,duration_days,event_window_before_days,event_window_after_days,sentiment_expected,severity_score,source_level,official_source_url,naver_source_url,notes,collector,status,event0_date,AR_0,CAR_m1_p1,CAR_0_p1,CAR_0_p3,CAR_0_p5,CAR_m5_p5,CAR_m10_p10,event_type_final,market_cap,revenue,company_scale_weight,youtube_channel_subscribers,youtube_channel_views,youtube_channel_videos,instagram_followers,spotify_monthly_listeners,fanbase_weight,log_market_cap,log_revenue,log_youtube_channel_subscribers,log_youtube_channel_views,log_youtube_channel_videos,log_instagram_followers,log_spotify_monthly_listeners
TWICE_20210609_ALCOHOL_FREE,JYP,035900.KQ,TWICE,,comeback,title_track_release,TWICE Alcohol-Free and Taste of Love comeback,TWICE Alcohol-Free 與 Taste of Love 回歸,트와이스 Alcohol-Free 컴백,2021-05-31,2021-06-09,2021-06-18,19,3,14,positive,3.0,B_korean_news,https://koreajoongangdaily.joins.com/2021/05/31/entertainment/kpop/Twice-AlcoholFree-Taste-of-Love/20210531135500713.html,https://search.naver.com/search.naver?where=news&query=트와이스%20Alcohol-Free,Lead track announced for June 9 and album rollout created measurable comeback traffic,Paul,complete,2021-05-31,0.012257758468622062,-0.010498227088899402,0.013975233966901096,-0.01978657543004287,-0.004241552231033735,-0.003396979031991836,-0.035221048394801426,positive_comeback,1898524311552,821854666752,-0.4688088931621585,19300000,9196877980,2492,29900000,15938354,-0.0040791089780716,28.272098022200222,27.434829411934103,16.775615705688583,22.9421299135179,7.821242083523558,17.21336907180573,16.58423902650279
TWICE_20211001_THE_FEELS,JYP,035900.KQ,TWICE,,comeback,english_single_release,TWICE releases first English single The Feels,TWICE 發布首支英文單曲 The Feels,트와이스 첫 영어 싱글 The Feels 발매,2021-10-01,2021-10-01,2021-10-11,11,3,14,positive,4.0,A_official,https://www.youtube.com/watch?v=f5_wn8mexmM,https://search.naver.com/search.naver?where=news&query=트와이스%20The%20Feels,First English single and US promotion window,Paul,complete,2021-10-01,-0.029083195453675933,-0.04441861782918673,-0.03736403157594276,-0.03597796915309762,-0.03507320722304375,-0.07300698009400665,-0.09046688212488155,positive_comeback,1898524311552,821854666752,-0.4688088931621585,19300000,9196877980,2492,29900000,15938354,-0.0040791089780716,28.272098022200222,27.434829411934103,16.775615705688583,22.9421299135179,7.821242083523558,17.21336907180573,16.58423902650279
TWICE_20220712_CONTRACT_RENEWAL,JYP,035900.KQ,TWICE,,contract_member,group_contract_renewal,All TWICE members renew contracts with JYP,TWICE 全員與 JYP 續約,트와이스 전원 JYP 재계약,2022-07-12,2022-07-12,2022-07-19,8,3,14,positive,5.0,B_korean_news,https://en.yna.co.kr/view/AEN20220712004800315,https://search.naver.com/search.naver?where=news&query=트와이스%20재계약,Major company risk event because full group renewal reduced disbandment uncertainty,Paul,complete,2022-07-12,-0.0055893764776647325,0.026735653357628234,0.021478688231266835,0.011374342476256166,0.028627703894446865,0.0026806145354289386,-0.04257093014891831,positive_resolution,1898524311552,821854666752,-0.4688088931621585,19300000,9196877980,2492,29900000,15938354,-0.0040791089780716,28.272098022200222,27.434829411934103,16.775615705688583,22.9421299135179,7.821242083523558,17.21336907180573,16.58423902650279
TWICE_20230221_READY_TO_BE_TOUR,JYP,035900.KQ,TWICE,,concert,world_tour_announcement,TWICE announces Ready To Be world tour,TWICE 公布 Ready To Be 世界巡演,트와이스 Ready To Be 월드투어 발표,2023-02-21,2023-02-21,2023-03-03,11,3,14,positive,4.0,C_platform_data,https://www.upi.com/Entertainment_News/Music/2023/02/21/korea-Twice-Ready-to-Be-world-tour/4881677002969/,https://search.naver.com/search.naver?where=news&query=트와이스%20Ready%20To%20Be%20월드투어,Concert announcement suitable for event traffic and company revenue expectation,Paul,complete,2023-02-21,-0.018215927353354634,0.04697602413622154,0.01539634165597457,0.030273057063106575,0.014918757933819655,0.011602434676764358,-0.11089218368614026,positive_concert,1898524311552,821854666752,-0.4688088931621585,19300000,9196877980,2492,29900000,15938354,-0.0040791089780716,28.272098022200222,27.434829411934103,16.775615705688583,22.9421299135179,7.821242083523558,17.21336907180573,16.58423902650279
TWICE_20230424_METLIFE_SOLDOUT,JYP,035900.KQ,TWICE,,concert,stadium_sold_out,TWICE sells out MetLife Stadium concert,TWICE MetLife Stadium 演唱會完售,트와이스 메트라이프 스타디움 매진,2023-04-24,2023-04-24,2023-05-01,8,3,14,positive,4.0,B_korean_news,https://koreajoongangdaily.joins.com/2023/04/24/entertainment/kpop/Korea-Kpop-JYP/20230424175850970.html,https://search.naver.com/search.naver?where=news&query=트와이스%20메트라이프%20매진,"Concert demand and ticket sold-out event, better fit than chart-achievement row",Paul,complete,2023-04-24,-0.026016017901041133,-0.002093647825131467,-0.019497244763273434,-0.025121751831941035,-0.019846977863312097,0.038761294505311836,0.05241824635679897,positive_concert,1898524311552,821854666752,-0.4688088931621585,19300000,9196877980,2492,29900000,15938354,-0.0040791089780716,28.272098022200222,27.434829411934103,16.775615705688583,22.9421299135179,7.821242083523558,17.21336907180573,16.58423902650279
AESPA_20210517_NEXT_LEVEL,SM,041510.KQ,aespa,,comeback,single_release,aespa releases Next Level,aespa 發布 Next Level,에스파 Next Level 발매,2021-05-06,2021-05-17,2021-05-31,26,3,14,positive,4.0,B_korean_news,https://koreajoongangdaily.joins.com/2021/05/06/entertainment/kpop/aespa-Next-Level-May-17/20210506145900393.html,https://search.naver.com/search.naver?where=news&query=에스파%20Next%20Level,Signature single and early breakout event,Paul,complete,2021-05-06,0.008411028717437534,0.027055097714374435,0.039795217921994835,0.023752984596753308,-0.003947193461538764,0.028035084210455006,0.20957761687176177,positive_comeback,1843022528512,1174934781952,-0.4844129619534137,8400000,5974575113,1656,16400000,10507721,-0.4496562588899599,28.242428018368436,27.792233757263375,15.943742382861155,22.51077882160789,7.4127640174265625,16.612791953770035,16.1676209734041
AESPA_20220423_COACHELLA,SM,041510.KQ,aespa,,activity,festival_performance,aespa performs at Coachella 2022,aespa 登上 Coachella 2022,aespa 코첼라 2022 공연,2022-04-19,2022-04-23,2022-04-30,12,3,14,positive,4.0,C_platform_data,https://time.com/6174945/aespa-2/,https://search.naver.com/search.naver?where=news&query=에스파%20코첼라%202022,Global festival exposure with high media value,Paul,complete,2022-04-19,0.007981075542531635,0.008133006175160773,0.008850942599796671,0.0072049453997281715,-0.021685176836230828,-0.012634636428674156,-0.03727487029129265,positive_activity,1843022528512,1174934781952,-0.4844129619534137,8400000,5974575113,1656,16400000,10507721,-0.4496562588899599,28.242428018368436,27.792233757263375,15.943742382861155,22.51077882160789,7.4127640174265625,16.612791953770035,16.1676209734041
AESPA_20230607_GISELLE_HEALTH,SM,041510.KQ,aespa,Giselle,PR_crisis,health_hiatus,Giselle pauses activities for health reasons,Giselle 因健康因素暫停活動,지젤 건강 문제 활동 중단,2023-06-07,2023-06-07,2023-06-21,15,3,14,negative,3.0,C_platform_data,https://www.soompi.com/article/1592167wpp/aespas-giselle-to-sit-out-upcoming-u-s-activities-due-to-health,https://search.naver.com/search.naver?where=news&query=에스파%20지젤%20건강%20활동중단,Health-related absence during overseas activity period,Paul,complete,2023-06-07,0.04344560109599257,0.05682633057443973,0.0541996053002377,0.01628314698052974,0.11598152007285105,0.05036732679249884,0.07767554745218234,negative_PR_crisis,1843022528512,1174934781952,-0.4844129619534137,8400000,5974575113,1656,16400000,10507721,-0.4496562588899599,28.242428018368436,27.792233757263375,15.943742382861155,22.51077882160789,7.4127640174265625,16.612791953770035,16.1676209734041
AESPA_20240227_KARINA_DATING_BREAKUP,SM,041510.KQ,aespa,Karina,dating,confirmed_and_breakup,Karina and Lee Jae-wook dating news and breakup,Karina 與李宰旭戀愛公開後分手,카리나 이재욱 열애 결별,2024-02-27,2024-03-05,2024-04-02,36,3,14,mixed,4.0,B_korean_news,https://en.yna.co.kr/view/AEN20240402006500315,https://search.naver.com/search.naver?where=news&query=카리나%20이재욱%20열애%20결별,High discussion dating event with agency confirmation and breakup coverage,Paul,complete,2024-02-27,0.012376520629924635,0.025655239128826536,0.022920973970479333,-0.00324003480379826,-0.008473896071257696,-0.00765789592132067,0.039945425285513536,dating,1843022528512,1174934781952,-0.4844129619534137,8400000,5974575113,1656,16400000,10507721,-0.4496562588899599,28.242428018368436,27.792233757263375,15.943742382861155,22.51077882160789,7.4127640174265625,16.612791953770035,16.1676209734041
AESPA_20240527_ARMAGEDDON,SM,041510.KQ,aespa,,comeback,first_full_album,aespa releases first full album Armageddon,aespa 發布首張正規專輯 Armageddon,에스파 첫 정규앨범 Armageddon 발매,2024-04-22,2024-05-27,2024-06-02,42,3,14,positive,5.0,B_korean_news,https://en.yna.co.kr/view/AEN20240527007200315,https://search.naver.com/search.naver?where=news&query=에스파%20Armageddon%20정규앨범,First full album and Supernova Armageddon promotion cycle,Paul,complete,2024-04-22,0.058935996538990905,0.1373429333349355,0.11822430025459976,0.08843120003807811,0.06684999303097597,0.07864660090194789,0.052933867146641944,positive_comeback,1843022528512,1174934781952,-0.4844129619534137,8400000,5974575113,1656,16400000,10507721,-0.4496562588899599,28.242428018368436,27.792233757263375,15.943742382861155,22.51077882160789,7.4127640174265625,16.612791953770035,16.1676209734041
