event_id,company,group,member,event_title_en,start_date,sentiment_expected,event_category,event_subtype,event_type_final
TWICE_20210609_ALCOHOL_FREE,JYP,TWICE,,TWICE Alcohol-Free and Taste of Love comeback,2021-05-31,positive,comeback,title_track_release,positive_comeback
TWICE_20211001_THE_FEELS,JYP,TWICE,,TWICE releases first English single The Feels,2021-10-01,positive,comeback,english_single_release,positive_comeback
TWICE_20220712_CONTRACT_RENEWAL,JYP,TWICE,,All TWICE members renew contracts with JYP,2022-07-12,positive,contract_member,group_contract_renewal,positive_resolution
TWICE_20230221_READY_TO_BE_TOUR,JYP,TWICE,,TWICE announces Ready To Be world tour,2023-02-21,positive,concert,world_tour_announcement,positive_concert
TWICE_20230424_METLIFE_SOLDOUT,JYP,TWICE,,TWICE sells out MetLife Stadium concert,2023-04-24,positive,concert,stadium_sold_out,positive_concert
AESPA_20210517_NEXT_LEVEL,SM,aespa,,aespa releases Next Level,2021-05-06,positive,comeback,single_release,positive_comeback
AESPA_20220423_COACHELLA,SM,aespa,,aespa performs at Coachella 2022,2022-04-19,positive,activity,festival_performance,positive_activity
AESPA_20230607_GISELLE_HEALTH,SM,aespa,Giselle,Giselle pauses activities for health reasons,2023-06-07,negative,PR_crisis,health_hiatus,negative_PR_crisis
AESPA_20240227_KARINA_DATING_BREAKUP,SM,aespa,Karina,Karina and Lee Jae-wook dating news and breakup,2024-02-27,mixed,dating,confirmed_and_breakup,dating
AESPA_20240527_ARMAGEDDON,SM,aespa,,aespa releases first full album Armageddon,2024-04-22,positive,comeback,first_full_album,positive_comeback
BLACKPINK_20220819_PINK_VENOM,YG,BLACKPINK,,BLACKPINK releases Pink Venom,2022-08-19,positive,comeback,pre_release_single,positive_comeback
BLACKPINK_20220916_BORN_PINK,YG,BLACKPINK,,BLACKPINK releases Born Pink,2022-09-16,positive,comeback,album_release,positive_comeback
BLACKPINK_20230110_COACHELLA_HEADLINER,YG,BLACKPINK,,BLACKPINK announced as Coachella 2023 headliner,2023-01-10,positive,concert,festival_headliner_announcement,positive_concert
BLACKPINK_20231206_GROUP_CONTRACT_RENEWAL,YG,BLACKPINK,,BLACKPINK renews group contract with YG,2023-12-06,positive,contract_member,group_contract_renewal,positive_resolution
BLACKPINK_20231229_INDIVIDUAL_CONTRACTS,YG,BLACKPINK,,BLACKPINK members do not renew individual contracts with YG,2023-12-29,mixed,contract_member,individual_contracts_not_renewed,artist_transition
