Variable,AR[0],"CAR[-1,+1]","CAR[0,+1]","CAR[0,+3]","CAR[0,+5]","CAR[-5,+5]","CAR[-10,+10]"
Positive activity (intercept),"-0.05
(0.43)","0.56
(0.63)","-0.21
(0.60)","-0.99
(0.61)","-0.37
(0.76)","0.94
(0.92)","1.95
(1.80)"
Positive comeback,"0.20
(0.77)","0.08
(1.27)","0.77
(1.09)","1.59
(1.27)","0.22
(1.42)","-2.37
(2.06)","-3.48
(3.19)"
Positive concert,"0.27
(0.50)","0.39
(0.79)","1.23*
(0.73)","2.07**
(0.92)","1.24
(1.34)","0.07
(1.58)","-1.29
(2.56)"
Positive resolution,"3.61
(2.87)","5.10**
(2.58)","5.32**
(2.67)","3.23
(2.40)","0.58
(2.44)","-0.45
(3.65)","-0.56
(4.44)"
Negative PR crisis,"0.32
(0.75)","-0.92
(1.13)","0.14
(0.97)","1.43
(1.06)","0.86
(1.48)","-1.25
(2.20)","-2.03
(2.56)"
Negative contract crisis,"-2.69*
(1.51)","-5.90***
(1.74)","-4.45***
(1.62)","-2.86**
(1.32)","-4.51***
(1.67)","-7.21***
(2.17)","-10.10***
(2.76)"
Dating,"0.09
(0.61)","-1.88*
(1.11)","-0.07
(0.79)","-0.01
(1.03)","-0.67
(0.95)","-3.63
(2.98)","-3.07
(4.52)"
Artist transition,"-0.40
(1.06)","-3.53
(3.28)","-2.30
(2.69)","-4.61
(2.96)","-8.16**
(3.18)","-12.08**
(4.86)","-13.54**
(6.76)"
Log market cap (centered),"-0.15
(0.28)","-0.19
(0.51)","-0.31
(0.43)","0.38
(0.47)","0.64
(0.58)","0.61
(0.88)","0.48
(1.09)"
Log YouTube subscribers (centered),"-0.45
(0.30)","-0.99*
(0.53)","-0.70
(0.46)","-0.66
(0.51)","-0.91
(0.64)","-2.23**
(0.98)","-2.10*
(1.13)"
Observations,165,165,165,165,165,165,165
Adjusted R²,0.070,0.137,0.137,0.118,0.119,0.126,0.068
Model p-value,0.157,0.004,0.009,0.006,0.006,0.010,0.013
