predictor,outcome,correlation,abs_correlation,N
spotify_monthly_listeners,AR_0,-0.09721512284939732,0.09721512284939732,165
log_spotify_monthly_listeners,AR_0,-0.09648535375180652,0.09648535375180652,165
log_youtube_channel_views,AR_0,-0.06503085281455699,0.06503085281455699,165
market_cap,AR_0,-0.06337888231958116,0.06337888231958116,165
company_scale_weight,AR_0,-0.06337888231958112,0.06337888231958112,165
fanbase_weight,AR_0,-0.062099926455895973,0.062099926455895973,165
log_youtube_channel_subscribers,AR_0,-0.06190573995561083,0.06190573995561083,165
log_market_cap,AR_0,-0.05369078040616096,0.05369078040616096,165
instagram_followers,AR_0,-0.053662924667309035,0.053662924667309035,165
revenue,AR_0,-0.04549256969659309,0.04549256969659309,165
youtube_channel_subscribers,AR_0,-0.044191877179850445,0.044191877179850445,165
youtube_channel_views,AR_0,-0.03802261410543949,0.03802261410543949,165
log_revenue,AR_0,-0.029683028778436343,0.029683028778436343,165
youtube_channel_videos,AR_0,-0.023565996234862392,0.023565996234862392,165
log_instagram_followers,AR_0,-0.010209958426309673,0.010209958426309673,165
log_youtube_channel_videos,AR_0,-0.009469218810134553,0.009469218810134553,165
spotify_monthly_listeners,CAR_0_p1,-0.10995884235655236,0.10995884235655236,165
log_spotify_monthly_listeners,CAR_0_p1,-0.08579699092306475,0.08579699092306475,165
market_cap,CAR_0_p1,-0.08035500079379573,0.08035500079379573,165
company_scale_weight,CAR_0_p1,-0.08035500079379569,0.08035500079379569,165
log_market_cap,CAR_0_p1,-0.07307588179171241,0.07307588179171241,165
fanbase_weight,CAR_0_p1,-0.07054696709902385,0.07054696709902385,165
instagram_followers,CAR_0_p1,-0.06970812145352258,0.06970812145352258,165
revenue,CAR_0_p1,-0.06918472029625375,0.06918472029625375,165
log_youtube_channel_subscribers,CAR_0_p1,-0.06339765723500815,0.06339765723500815,165
log_revenue,CAR_0_p1,-0.05750709920826572,0.05750709920826572,165
youtube_channel_subscribers,CAR_0_p1,-0.05500586696667092,0.05500586696667092,165
log_youtube_channel_videos,CAR_0_p1,0.048542249346757556,0.048542249346757556,165
youtube_channel_videos,CAR_0_p1,0.03193092200398651,0.03193092200398651,165
youtube_channel_views,CAR_0_p1,-0.030125738309661344,0.030125738309661344,165
log_youtube_channel_views,CAR_0_p1,-0.024232444528683388,0.024232444528683388,165
log_instagram_followers,CAR_0_p1,-0.019115151639815413,0.019115151639815413,165
log_youtube_channel_videos,CAR_0_p3,0.13919461295668015,0.13919461295668015,165
youtube_channel_videos,CAR_0_p3,0.1211189793591915,0.1211189793591915,165
youtube_channel_subscribers,CAR_0_p3,-0.11330935955364067,0.11330935955364067,165
log_youtube_channel_subscribers,CAR_0_p3,-0.11177483170772028,0.11177483170772028,165
log_market_cap,CAR_0_p3,0.09930676795724061,0.09930676795724061,165
youtube_channel_views,CAR_0_p3,-0.09060902271460086,0.09060902271460086,165
log_revenue,CAR_0_p3,0.08927466727702829,0.08927466727702829,165
revenue,CAR_0_p3,0.07879760748166977,0.07879760748166977,165
market_cap,CAR_0_p3,0.07834244509638,0.07834244509638,165
company_scale_weight,CAR_0_p3,0.07834244509637996,0.07834244509637996,165
fanbase_weight,CAR_0_p3,-0.07796972260710006,0.07796972260710006,165
instagram_followers,CAR_0_p3,-0.06427260956379106,0.06427260956379106,165
log_spotify_monthly_listeners,CAR_0_p3,0.02870368142219132,0.02870368142219132,165
log_instagram_followers,CAR_0_p3,0.026973239392886032,0.026973239392886032,165
spotify_monthly_listeners,CAR_0_p3,-0.024468945617069575,0.024468945617069575,165
log_youtube_channel_views,CAR_0_p3,-0.02205263452625546,0.02205263452625546,165
log_youtube_channel_videos,CAR_0_p5,0.14798037081890061,0.14798037081890061,165
youtube_channel_subscribers,CAR_0_p5,-0.14116181309996473,0.14116181309996473,165
log_youtube_channel_subscribers,CAR_0_p5,-0.13493285268227828,0.13493285268227828,165
youtube_channel_views,CAR_0_p5,-0.12735035461456362,0.12735035461456362,165
youtube_channel_videos,CAR_0_p5,0.125651825199094,0.125651825199094,165
log_market_cap,CAR_0_p5,0.1154671186368063,0.1154671186368063,165
log_revenue,CAR_0_p5,0.10627767666335243,0.10627767666335243,165
fanbase_weight,CAR_0_p5,-0.09711852060489409,0.09711852060489409,165
revenue,CAR_0_p5,0.08737551272009701,0.08737551272009701,165
market_cap,CAR_0_p5,0.0830635298178149,0.0830635298178149,165
company_scale_weight,CAR_0_p5,0.08306352981781487,0.08306352981781487,165
instagram_followers,CAR_0_p5,-0.0707175761649139,0.0707175761649139,165
log_youtube_channel_views,CAR_0_p5,-0.06006094263191922,0.06006094263191922,165
log_instagram_followers,CAR_0_p5,0.04131326029340862,0.04131326029340862,165
log_spotify_monthly_listeners,CAR_0_p5,0.028379594799267813,0.028379594799267813,165
spotify_monthly_listeners,CAR_0_p5,-0.025305350192951194,0.025305350192951194,165
youtube_channel_views,CAR_m10_p10,-0.1518715381211999,0.1518715381211999,165
log_youtube_channel_subscribers,CAR_m10_p10,-0.15093263494064876,0.15093263494064876,165
youtube_channel_subscribers,CAR_m10_p10,-0.14914546113392574,0.14914546113392574,165
log_youtube_channel_views,CAR_m10_p10,-0.13676794023397892,0.13676794023397892,165
fanbase_weight,CAR_m10_p10,-0.1342814291670359,0.1342814291670359,165
spotify_monthly_listeners,CAR_m10_p10,-0.11262930841176287,0.11262930841176287,165
log_spotify_monthly_listeners,CAR_m10_p10,-0.10944373148219341,0.10944373148219341,165
log_youtube_channel_videos,CAR_m10_p10,0.10533547142777491,0.10533547142777491,165
instagram_followers,CAR_m10_p10,-0.09038004187692952,0.09038004187692952,165
youtube_channel_videos,CAR_m10_p10,0.07761568149188844,0.07761568149188844,165
log_revenue,CAR_m10_p10,0.06335421952242322,0.06335421952242322,165
log_market_cap,CAR_m10_p10,0.04491631177006372,0.04491631177006372,165
revenue,CAR_m10_p10,0.031231094429460007,0.031231094429460007,165
log_instagram_followers,CAR_m10_p10,0.010100801562486189,0.010100801562486189,165
market_cap,CAR_m10_p10,0.008311797141064682,0.008311797141064682,165
company_scale_weight,CAR_m10_p10,0.00831179714106467,0.00831179714106467,165
spotify_monthly_listeners,CAR_m1_p1,-0.12835231604105385,0.12835231604105385,165
log_spotify_monthly_listeners,CAR_m1_p1,-0.12081755033342459,0.12081755033342459,165
fanbase_weight,CAR_m1_p1,-0.11326262043874545,0.11326262043874545,165
instagram_followers,CAR_m1_p1,-0.1105425916584956,0.1105425916584956,165
log_youtube_channel_subscribers,CAR_m1_p1,-0.10200907834157004,0.10200907834157004,165
youtube_channel_subscribers,CAR_m1_p1,-0.10064196017828109,0.10064196017828109,165
